,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
1,GO:0022626,cytosolic ribosome,90,0.836951523,3.246551339,1.00E-10,1.83E-09,1.11E-09,778,"tags=82%, list=13%, signal=73%",RPS15A/RPL11/RPL30/RPS3A/RPL36/RPS27L/RPL8/RPL18A/RPL9/RPS16/RPS3/RPS14/RPS4X/GCN1/RPS23/RPL10/RPS11/RPL34/RPS5/RPL22/RACK1/RPL10A/RPS6/RPL26/RPS17/RPS8/RPL36A/RPL24/RPL3/RPL19/RPS19/RPL27A/RPL31/RPS18/RPS20/RPS24/RPS9/RPS25/RPS2/RPL35A/RPL23/RPL12/RPL17/RPL7/RPL21/RPL32/RPL4/RPL13A/RPL14/RPL36AL/RPL28/RPL5/RPLP0/RPS13/RPL7A/RPSA/RPS15/RPS12/RPL37A/RPL23A/RPL27/RPL6/RPL29/RPL15/RPS10/RPL35/RPL13/RPS7/RNF25/RPL38/RPL18/EIF2A/RPL7L1/ZNF598
2,GO:0022625,cytosolic large ribosomal subunit,49,0.855116102,2.93441692,1.00E-10,1.83E-09,1.11E-09,656,"tags=86%, list=11%, signal=77%",RPL11/RPL30/RPL36/RPL8/RPL18A/RPL9/RPL10/RPL34/RPL22/RPL10A/RPL26/RPL36A/RPL24/RPL3/RPL19/RPL27A/RPL31/RPL35A/RPL23/RPL12/RPL17/RPL7/RPL21/RPL32/RPL4/RPL13A/RPL14/RPL36AL/RPL28/RPL5/RPLP0/RPL7A/RPL37A/RPL23A/RPL27/RPL6/RPL29/RPL15/RPL35/RPL13/RPL38/RPL18
3,GO:0030684,preribosome,82,0.712685131,2.731236758,1.00E-10,1.83E-09,1.11E-09,1246,"tags=66%, list=20%, signal=53%",DIMT1/RPS15A/RPS3A/RPS16/RPS14/RPS4X/IMP4/RPS23/RPS11/MRTO4/RPS5/RPS6/FBL/RPS17/RPS8/NOP14/RCL1/RPS19/WDR43/UTP11/RPS24/RPS9/RRP1/PNO1/RPS13/PES1/FTSJ3/NOB1/BOP1/RPS12/EMG1/IMP3/RRS1/RPS7/RRP15/WDR74/NOP9/NOL6/NSA2/RPS27/UTP4/UTP6/NOL10/BMS1/NIP7/RRP1B/BYSL/UTP25/WDR12/PIN4/NGDN/SNU13/EBNA1BP2/UTP14A
4,GO:0022627,cytosolic small ribosomal subunit,35,0.818915052,2.606061002,1.00E-10,1.83E-09,1.11E-09,730,"tags=80%, list=12%, signal=71%",RPS15A/RPS3A/RPS27L/RPS16/RPS3/RPS14/RPS4X/RPS23/RPS11/RPS5/RACK1/RPS6/RPS17/RPS8/RPS19/RPS18/RPS20/RPS24/RPS9/RPS25/RPS2/RPS13/RPSA/RPS15/RPS12/RPS10/RPS7/EIF2A
5,GO:0032040,small-subunit processome,53,0.737446704,2.586966857,1.00E-10,1.83E-09,1.11E-09,953,"tags=62%, list=16%, signal=53%",DIMT1/RPS15A/RPS3A/RPS16/RPS14/RPS4X/IMP4/RPS23/RPS11/RPS5/RPS6/FBL/RPS17/RPS8/NOP14/RCL1/RPS19/WDR43/UTP11/RPS24/RPS9/PNO1/RPS13/RPS12/EMG1/IMP3/RPS7/NOL6/RPS27/UTP4/UTP6/NOL10/BMS1
6,GO:0030672,synaptic vesicle membrane,84,-0.706530488,-2.434611278,1.00E-10,1.83E-09,1.11E-09,1164,"tags=64%, list=19%, signal=53%",ATP6V1F/PTPRN2/ATP2B1/VAMP2/SLC35D3/BSN/CLCN3/PTPRS/ATP6V1B1/STX16/VTI1A/BORCS5/MCTP2/RPH3A/ATP6V0C/RAB26/ANP32E/ATP6V1G1/SLC17A6/ATP8A1/GAD2/SYT5/DMXL2/SLC6A17/ATP6V0D1/STX12/SYT7/SNCA/SYNGR3/DNM1L/SLC17A5/ATP6AP2/BIN1/SYN1/ATP6V1C1/RAB3A/ATP6V0A1/RAB3B/WFS1/RAB3C/ATP6AP1/SVOP/DNAJC5/SYP/AMPH/ATP6V1H/SV2A/SCAMP1/STX1A/ABCC8/ATP6V1A/ATP6V1B2/ATP6V1D/ATP6V1E1
7,GO:0099501,exocytic vesicle membrane,84,-0.706530488,-2.434611278,1.00E-10,1.83E-09,1.11E-09,1164,"tags=64%, list=19%, signal=53%",ATP6V1F/PTPRN2/ATP2B1/VAMP2/SLC35D3/BSN/CLCN3/PTPRS/ATP6V1B1/STX16/VTI1A/BORCS5/MCTP2/RPH3A/ATP6V0C/RAB26/ANP32E/ATP6V1G1/SLC17A6/ATP8A1/GAD2/SYT5/DMXL2/SLC6A17/ATP6V0D1/STX12/SYT7/SNCA/SYNGR3/DNM1L/SLC17A5/ATP6AP2/BIN1/SYN1/ATP6V1C1/RAB3A/ATP6V0A1/RAB3B/WFS1/RAB3C/ATP6AP1/SVOP/DNAJC5/SYP/AMPH/ATP6V1H/SV2A/SCAMP1/STX1A/ABCC8/ATP6V1A/ATP6V1B2/ATP6V1D/ATP6V1E1
8,GO:0030055,cell-substrate junction,267,0.546551548,2.422088812,1.00E-10,1.83E-09,1.11E-09,1216,"tags=47%, list=20%, signal=40%",RPL30/CTNNA1/RPS3A/RPL8/LCP1/RPL9/RPS16/RPS3/RPS14/BSG/RPS4X/PDLIM7/MYH9/RPS11/PACSIN2/RPS5/CAT/RPL22/RPL10A/ADAM10/ADD1/TES/SORBS2/GIT2/EGFR/RPS17/RPS8/CNN3/CDC42EP1/RPL3/RPL19/RPS19/ACTN4/RPL31/SNAP23/RPS18/RPS9/DMD/RPS2/EZR/NPM1/RPL23/RPL12/CD44/RPL7/SNTB1/RPL4/RPL13A/FBLIM1/HSPG2/RPL5/RPLP0/LAP3/ITGA2/RPS13/MSN/JUP/PLEC/ITGA3/RRAS2/AFAP1/TRIOBP/ARHGEF2/TNS3/RPL7A/ARF6/RPS15/ARHGAP26/RPL37A/TRIP6/ITGA5/YWHAZ/HSPB1/RPL27/RPL6/CNN2/RPS10/P4HB/PPFIBP1/SVIL/DAG1/ACTN1/FLII/PPIA/RPS7/FLNA/RPL38/RPL18/ADAM17/CORO1C/SNTB2/LIMA1/WASF1/ITGB1/TLN2/FLNB/CFL1/BCAR1/PPIB/PFN1/ARPC1B/MARCKS/FLOT2/ITGAV/IL1RL1/RPS29/SDC4/ZYX/TADA1/CAPN2/VASP/PTPN12/LASP1/CD59/MRC2/FERMT1/ACTG1/JAK1/SDCBP/NECTIN2/ADGRE5/EPPK1/ITGB2/EPB41L2/LIMD1/LPP
9,GO:0005925,focal adhesion,263,0.545913105,2.40887425,1.00E-10,1.83E-09,1.11E-09,1216,"tags=47%, list=20%, signal=39%",RPL30/CTNNA1/RPS3A/RPL8/LCP1/RPL9/RPS16/RPS3/RPS14/BSG/RPS4X/PDLIM7/MYH9/RPS11/PACSIN2/RPS5/CAT/RPL22/RPL10A/ADAM10/ADD1/TES/SORBS2/GIT2/EGFR/RPS17/RPS8/CNN3/CDC42EP1/RPL3/RPL19/RPS19/ACTN4/RPL31/SNAP23/RPS18/RPS9/RPS2/EZR/NPM1/RPL23/RPL12/CD44/RPL7/SNTB1/RPL4/RPL13A/FBLIM1/HSPG2/RPL5/RPLP0/LAP3/ITGA2/RPS13/MSN/JUP/PLEC/ITGA3/RRAS2/AFAP1/TRIOBP/ARHGEF2/TNS3/RPL7A/ARF6/RPS15/ARHGAP26/RPL37A/TRIP6/ITGA5/YWHAZ/HSPB1/RPL27/RPL6/CNN2/RPS10/P4HB/PPFIBP1/SVIL/DAG1/ACTN1/FLII/PPIA/RPS7/FLNA/RPL38/RPL18/ADAM17/CORO1C/SNTB2/LIMA1/WASF1/ITGB1/TLN2/FLNB/CFL1/BCAR1/PPIB/PFN1/ARPC1B/MARCKS/FLOT2/ITGAV/IL1RL1/RPS29/SDC4/ZYX/TADA1/CAPN2/VASP/PTPN12/LASP1/CD59/MRC2/FERMT1/ACTG1/JAK1/SDCBP/NECTIN2/ADGRE5/ITGB2/EPB41L2/LIMD1/LPP
10,GO:0070382,exocytic vesicle,130,-0.654703187,-2.403887806,1.00E-10,1.83E-09,1.11E-09,750,"tags=45%, list=12%, signal=41%",LGI3/SYT17/BORCS5/AP3S2/RAB40C/MCTP2/RPH3A/ATP6V0C/RAB26/ANP32E/ATP6V1G1/SLC17A6/APBA1/SEPTIN5/ATP8A1/GAD2/STXBP5/SYT5/DMXL2/SLC6A17/ATP6V0D1/PSEN2/STX12/SYT7/SNAP25/SNCA/ROGDI/SYNGR3/DNM1L/SLC17A5/SYT13/ATP6AP2/BIN1/SNAP91/SYN1/ATP6V1C1/RAB3A/ATP6V0A1/RAB3B/WFS1/RAB3C/ATP6AP1/SVOP/CACFD1/DNAJC5/SYP/VTI1B/AMPH/RAB12/ATP6V1H/SV2A/SCAMP1/STX1A/ABCC8/ATP6V1A/ATP6V1B2/ATP6V1D/ATP6V1E1/STX3
