"","Feature","logFC","Average.level","T_statistic","P_value","Adjusted.p_value","GeneID","chromosome"
"1","DDX3Y",-1.92736723618988,-0.0236488750275713,-4.99772367402748,1.69448841707918e-05,0.10400769904032,8653,"Y"
"2","HBD",-0.791245253937904,-0.151803008655469,-4.0127712732147,0.000308742455539487,0.467873990502691,3045,"11"
"3","CYP7B1",-0.494580995137256,0.0947758251905618,-3.97088284506308,0.000348224069859853,0.467873990502691,9420,"8"
"4","GAA",0.4148980103223,3.44807654867506,3.90456471657426,0.000421007338273796,0.467873990502691,2548,"17"
"5","ADSS1",0.48716755685476,-1.74737138653462,3.84471895703447,0.000499266683432323,0.467873990502691,122622,"14"
"6","GTPBP6",-0.289235380897843,-0.174142194285154,-3.83549741754457,0.00051252110085555,0.467873990502691,8225,"c(""X"", ""Y"")"
"7","RNF146",0.375067450187885,-1.53714835257311,3.80124316444894,0.00056481817162824,0.467873990502691,81847,"6"
"8","PEX19",0.455911388752032,-2.08792967032859,3.77415826424264,0.000609806439234527,0.467873990502691,5824,"1"
"9","SPON2",0.561197097488422,-1.44023919831412,3.71416270057755,0.000722191529265278,0.492534622958919,10417,"4"
"10","C11orf52",0.492373096393916,-1.94775541326748,3.5233144098065,0.00122950635940064,0.746958711910213,91894,"11"
"11","MAVS",0.303264196540525,0.902594929541703,3.48022133863563,0.00138458931155777,0.746958711910213,57506,"20"
"12","AGT",0.826982648070006,-0.0128368186950618,3.43267089409998,0.00157754014070744,0.746958711910213,183,"1"
"13","ZFP62",0.432452146265214,-5.56288145129685,3.43163374467468,0.00158202399068634,0.746958711910213,643836,"5"
"14","ROBO2",0.577956985311988,-3.50131015063689,3.4040999518168,0.00170563577796918,0.747799457512486,6092,"3"
"15","ZNF512B",0.496591774568292,-2.21209787134118,3.36030247602265,0.0019215656254229,0.786304653923049,57473,"20"
"16","ADAMTS2",0.291987828065652,-1.07875060980631,3.3325723376032,0.00207157363107354,0.794707434220587,9509,"5"
"17","ZNF185",0.752655382160123,0.484673794341536,3.29581618986415,0.00228775745894548,0.826015016647491,7739,"X"
"18","MMRN1",0.430936592381741,0.166871067616189,3.25839809715773,0.00252989830824957,0.856829753103508,22915,"4"
"19","PUDP",0.331415990942583,-0.691732889860157,3.20553064247517,0.00291404434137184,0.856829753103508,8226,"X"
"20","SCOC",0.608767302664315,-2.23506311107998,3.19296218552239,0.0030132256081521,0.856829753103508,60592,"4"
"21","RNF34",0.266980709893535,-1.59687850418137,3.17860477941232,0.00313045543355844,0.856829753103508,80196,"12"
"22","IFIT2",0.620827348046855,-1.49760800176056,3.1628622745208,0.00326397815289057,0.856829753103508,3433,"10"
"23","FSTL4",0.533251363741293,-0.299354720513825,3.11060515251005,0.00374708183660835,0.856829753103508,23105,"5"
"24","HBB",-0.919302447166532,4.87996766692656,-3.10152842361501,0.00383762641538798,0.856829753103508,3043,"11"
"25","ZNF428",0.410797343967883,-1.31167889663078,3.09831709535234,0.00387015487630778,0.856829753103508,126299,"19"
"26","FKBP8",0.264153550941676,0.650607992043036,3.08536967701878,0.00400397334333364,0.856829753103508,23770,"19"
"27","MAP4K2",0.440562903999742,-1.67707700323353,3.06081339329318,0.00426990520161743,0.856829753103508,5871,"11"
"28","ABCC4",-0.382333038900584,-0.736937102898906,-3.05105609866386,0.00438014357946936,0.856829753103508,10257,"13"
"29","N4BP1",0.455566302946423,-4.42490883008018,3.0455467102095,0.00444357274693318,0.856829753103508,9683,"16"
"30","NUDT8",-0.371536433733697,-2.1630403073836,-3.02689257186169,0.00466484651848599,0.856829753103508,254552,"11"
"31","FBXO45",0.279731401142262,-1.45961729756545,3.0209823708194,0.0047370979506411,0.856829753103508,200933,"3"
"32","ZDHHC14",-0.423232121192833,-0.887250630308762,-2.99354977498677,0.00508651469804119,0.856829753103508,79683,"6"
"33","BCAM",0.345770262356997,1.49612764698974,2.99265222577001,0.00509834799459635,0.856829753103508,4059,"19"
"34","MRGBP",0.685615133594036,-4.62718081670544,2.9925016201597,0.00510033612292783,0.856829753103508,55257,"20"
"35","CORO2B",0.350266147880644,0.515471807087685,2.98824508171572,0.00515682958936952,0.856829753103508,10391,"15"
"36","KANSL3",0.370108659465207,-3.93891221518074,2.98583664427218,0.00518905567596517,0.856829753103508,55683,"2"
"37","ARX",0.464439235338954,-1.22575348585696,2.97825584483799,0.00529173458702215,0.856829753103508,170302,"X"
"38","LIN7A",0.753699826656096,-2.87822909743224,2.94820030479547,0.00571797414309678,0.856829753103508,8825,"12"
"39","KDF1",0.455636775993189,-2.50660702665914,2.94721902004456,0.0057324210223234,0.856829753103508,126695,"1"
"40","AGR2",-0.911341879557114,1.42339045285021,-2.94006923830651,0.00583872474593813,0.856829753103508,10551,"7"
"41","PHC3",0.266078380466373,-0.751198379305006,2.93638926655497,0.00589415932046143,0.856829753103508,80012,"3"
"42","ZNF652",0.497609842786987,-3.51055847086178,2.92986676046906,0.00599363175496923,0.856829753103508,22834,"17"
"43","COMMD5",0.262551471913867,-0.06979600105968,2.92928667423255,0.00600255447759056,0.856829753103508,28991,"8"
"44","TLCD4",0.375033001368792,-1.53880398179314,2.91035197179011,0.00630075363241239,0.867965425259317,148534,"1"
"45","TAF9",-0.300758531913418,-1.8943359646501,-2.90526050227132,0.00638328134473126,0.867965425259317,6880,"5"
"46","NPC2",0.394493526047751,0.141298676828133,2.89787546066339,0.00650479139164688,0.867965425259317,10577,"14"
"47","PKP1",0.759173356535635,-3.13135194278325,2.86667120395974,0.00704257754889293,0.899019958170968,5317,"1"
"48","CHGB",0.529265172747046,2.05070353061295,2.85347240953002,0.00728236386054351,0.899019958170968,1114,"20"
"49","ZMYM4",0.380657174793224,-1.6708435168628,2.84740669430943,0.00739510721034183,0.899019958170968,9202,"1"
"50","CACNA1C",0.461758905297009,-5.02369747814026,2.83486834863394,0.00763335654292867,0.899019958170968,775,"12"
"51","SUGP2",0.220427075524071,0.0497946505604592,2.81790525188564,0.00796712602477981,0.899019958170968,10147,"19"
"52","B4GALT4",0.251875021502196,-0.37842113468476,2.80799965208499,0.00816828965342488,0.899019958170968,8702,"3"
"53","RTBDN",0.548768110316004,-2.3037400059546,2.80467657161449,0.00823683116669325,0.899019958170968,83546,"19"
"54","SMOC1",0.524782297867797,-1.20919052412092,2.80368859889725,0.00825731235379401,0.899019958170968,64093,"14"
"55","PRPH",-0.593025644724186,-0.611154045356173,-2.802374512268,0.00828462775905833,0.899019958170968,5630,"12"
"56","ARL6IP1",-0.228774010949451,0.800598743768583,-2.79661460247158,0.00840535521434625,0.899019958170968,23204,"16"
"57","SLC12A8",-0.319458229507454,-2.52564845535381,-2.78983009494763,0.00854966428142553,0.899019958170968,84561,"3"
"58","OSBPL6",0.35827189529751,-1.79966829800321,2.78833239095572,0.00858183103128978,0.899019958170968,114880,"2"
"59","PISD",0.274098362312361,-1.41452665905474,2.78225672585238,0.0087134820427153,0.899019958170968,23761,"22"
"60","REPIN1",0.283931568577581,-1.00995566057462,2.77789863011491,0.00880907344733048,0.899019958170968,29803,"7"
"61","H1-10",0.364722973066056,2.22138662890718,2.75991320050664,0.00921400734121192,0.899019958170968,8971,"3"
"62","JMY",0.471952226953168,-2.88839709487418,2.75786891565873,0.00926111532469275,0.899019958170968,133746,"5"
"63","CBX7",0.422861632841813,-1.36076182649483,2.75593230297011,0.0093059489665275,0.899019958170968,23492,"22"
"64","PARP10",0.25932236479673,-1.32456870955676,2.75301167698529,0.00937394547457509,0.899019958170968,84875,"8"
"65","ZNF285CP",0.407119911347569,0.204229190714438,2.73296761187214,0.00985322712356995,0.910070977935287,646915,"2"
"66","SETD2",-0.439980316324875,-2.62551097643357,-2.7297073545753,0.00993330676824134,0.910070977935287,29072,"3"
"67","SLC2A1",-0.398427915547899,0.449262095702883,-2.72696783577653,0.0100010632959647,0.910070977935287,6513,"1"
"68","VGF",0.778907792650446,4.02057456143549,2.72245518543713,0.0101136122156299,0.910070977935287,7425,"7"
"69","ST18",0.386010600392655,-3.0542375079279,2.71243835956504,0.0103676587182235,0.910070977935287,9705,"8"
"70","ATP1B3",-0.24432965904235,1.41146843210903,-2.70950754151939,0.010443103459858,0.910070977935287,483,"3"
"71","PPT1",0.233354361507788,2.48860571637637,2.70626943358176,0.0105270510644193,0.910070977935287,5538,"1"
"72","MEX3D",-0.385855330669584,-2.22902360708943,-2.68153157879804,0.0111893503264592,0.914731888412554,399664,"19"
"73","BRD1",0.232839148995102,-1.07156824043825,2.67974756652749,0.0112385764529424,0.914731888412554,23774,"22"
"74","PODN",-0.592298568328143,-1.94510269411852,-2.64989830505628,0.0120925465807615,0.914731888412554,127435,"1"
"75","HBA1",-0.595927145138192,4.18991416352586,-2.64827903389059,0.012140547572972,0.914731888412554,3039,"16"
"76","EIF4E2",-0.241938714332421,-0.782124332966539,-2.64294363642717,0.0122999577116828,0.914731888412554,9470,"2"
"77","ZNF827",-0.473637625843887,-1.22737210397817,-2.6344264284926,0.0125584491159308,0.914731888412554,152485,"4"
"78","SCG2",0.504720153251343,2.45997266327176,2.63107875878508,0.0126614160909384,0.914731888412554,7857,"2"
"79","ABLIM2",0.303428677991063,-0.281910753381891,2.63013684466049,0.0126905276027308,0.914731888412554,84448,"4"
"80","NPRL3",0.204475076023456,-1.22615177541604,2.62591695365078,0.0128217114258837,0.914731888412554,8131,"16"
"81","MPP2",0.289976115759267,0.00506146663908885,2.62109467182282,0.0129731546687417,0.914731888412554,4355,"17"
"82","EVA1B",0.240889799469615,-0.698048308928182,2.61909927404933,0.0130363016892278,0.914731888412554,55194,"1"
"83","SSTR2",0.332560020521938,-0.956902032226707,2.61611486966977,0.0131312768878236,0.914731888412554,6752,"17"
"84","TECPR1",0.258053181590812,-0.452283017096859,2.61266361823501,0.0132419051060226,0.914731888412554,25851,"7"
"85","H2AC6",0.361403931303701,4.97700151375317,2.60920233028106,0.0133537183208925,0.914731888412554,8334,"6"
"86","GHRL",0.764458870692391,0.208753737465101,2.59659518471745,0.01376838296223,0.914731888412554,51738,"3"
"87","MLXIPL",0.343477718597268,-0.848532359542818,2.59018293804046,0.0139838138938542,0.914731888412554,51085,"7"
"88","GSTM2",0.431171563997546,2.20591027360308,2.58864214627158,0.0140360403199943,0.914731888412554,2946,"1"
