"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"1","GO:0005759","mitochondrial matrix",325,-0.410302414444226,1.98961971740762,1e-10,2.105e-08,1.64736842105263e-08,1370,"tags=39%, list=22%, signal=32%","MPST/SUCLA2/MRPS5/ALDH7A1/OAT/TEFM/MRPL27/NADK2/MRPL40/LRRC59/MTNAP1/ACADL/FDX1/MRPL13/MRPL58/PDHX/FDPS/HARS2/AK4/METTL15/ECHS1/ARG2/HMGCL/SLC25A5/PDK1/TARS2/SOD2/CHPF/AK3/ATP5PB/EARS2/MRPL37/TK2/IDH3A/ACADM/RARS2/LARS2/DGUOK/GCSH/PDK4/MRPS6/ARL2/IDH2/HIBCH/GUF1/NUBPL/PAM16/FPGS/ACSS1/DECR1/ANGEL2/ABAT/TUFM/OTC/FARS2/HADH/AMT/BCKDK/ALDH1L2/ALDH6A1/PDHB/ACSF2/MRM1/SIRT5/MRPL48/HAGH/MRPL4/LIPT2/WARS2/MRPL3/ACSS3/UQCRFS1/HSD17B8/FASTKD2/NIPSNAP2/TTC5/ACOT9/MRPS23/PDK2/TMLHE/BCAT2/PHYKPL/MRPL21/MRPL46/MRPL1/SUCLG2/PDHA1/MRPL28/ATP5F1A/SHMT2/HOGA1/DGLUCY/ACP6/ALDH5A1/MTERF4/MRPL35/MALSU1/RPS3/ACADSB/MRPL10/BDH1/MTHFS/BCL2L1/TRUB2/CYP27A1/MRPL38/YARS2/ACSM3/MTRF1L/MRPL16/FECH/MRPL19/ACAD8/TST/PPIF/RPUSD4/ABHD11/ALDH2/FAHD1/ME3/MTG1/TRIT1/TBRG4/DHTKD1/FASTKD1/AASS/IDH3G/CA5B"
"2","GO:0000785","chromatin",405,0.49627577053767,-1.97442468762049,1e-10,2.105e-08,1.64736842105263e-08,1456,"tags=42%, list=24%, signal=34%","MRGBP/KANSL3/ARX/H1-10/CBX7/ST18/BRD1/H2AC6/MLXIPL/AFF4/HMGN5/H2AZ1/IRX2/HMGXB4/PBX2/BICRAL/SMARCA1/MECP2/MBD3/TAF6L/PHF14/ARID4A/CENPC/SMARCD1/PHC1/EP400/PCGF2/MACROH2A1/SIN3B/NKX2-2/PHF12/NFYB/HNF4A/DMAP1/RBPJ/SMARCD3/RFX3/HNF1B/CHD3/TAF1/STAT3/ZHX3/HP1BP3/ZBTB33/LDB1/SET/MLX/MTA1/PDX1/PROX1/LRWD1/SP2/FOXP4/SS18/NR2F6/DR1/ANP32E/BCL7A/MSL2/BBX/SP1/TFE3/KDM1B/CBX1/H1-4/TAF9B/PAX6/KLF13/NFX1/JUND/POU2F1/GATAD2B/SAP30L/USF2/RBBP7/KAT7/H4C16/INO80C/TAF4/NR2C2/GMEB2/YEATS2/BRD3/ZNF618/H2AC13/H2BC21/SMARCB1/DFFA/E2F4/SETD1A/MEN1/NUCKS1/PSIP1/CEBPD/IRF6/NELFE/CREBBP/UBE2A/CDKN2A/MACROH2A2/TFEB/ATF2/JUN/JMJD1C/TAF6/BRMS1L/MORF4L2/APTX/H1-2/ACTR8/YY1/MEAF6/HMGB2/TRIM33/CUX1/ACTR6/SMARCE1/MEIS1/MNX1/SMARCA4/RFX2/NFYA/HMGN4/H1-3/ARID1A/KDM1A/BRD2/BAZ2A/WAPL/CBX6/MUC1/RSF1/ETV6/HSF1/ATF1/NCOR1/NFATC2/ATF6/RPA2/HMGN2/HNRNPDL/BCAS3/H1-0/BRD8/MORC2/PBX1/RRP1B/BACC1/TOX4/CIC/INO80/BANF1/ZC3H6/BRPF1/MEF2D/KMT2E/H2AC21/ARK2N/CHD6/NAP1L4/NR3C1/NOP53/ZMIZ1/AKAP8L/ELF1/BRD7/BAZ2B/PBXIP1/EPC2/H3C1"
"3","GO:0043565","sequence-specific DNA binding",321,0.477103277408112,-1.87300358988975,1.67555937865572e-10,4.28943200935865e-08,3.43930609303017e-08,1172,"tags=34%, list=19%, signal=29%","ZFP62/ZNF512B/ARX/REPIN1/ST18/MLXIPL/ABL1/H2AZ1/IRX2/PBX2/CPSF4/MECP2/MBD3/ZKSCAN1/ARID4A/CENPC/DHX33/ZBTB38/MACROH2A1/NKX2-2/NFYB/HNF4A/ZNF516/RBPJ/RFX3/ZSCAN18/RREB1/HNF1B/CHD3/TAF1/STAT3/ZBTB33/KDM6A/MED8/TBL1X/MLX/MTA1/PDX1/PROX1/LRWD1/SP2/FOXP4/NR2F6/ZNF280D/BBX/SP1/ZBTB4/TFE3/ZBTB20/PAX6/KLF13/NFX1/ZNF358/JUND/ZNF316/POU2F1/GATAD2B/USF2/TINF2/KAT7/KMT2A/MAPT/TAF4/NR2C2/ZBTB45/GMEB2/SMARCB1/TFAM/E2F4/TERF2/MEN1/NRF1/CBX4/CEBPD/TERF2IP/IRF6/MACROH2A2/TFEB/HMGB1/ATF2/JUN/MCM5/ZNF384/APEX1/DACH1/TP53BP1/YY1/GATAD1/HMGB2/CUX1/INSM1/MEIS1/MNX1/SMARCA4/ZKSCAN8/ERH/RFX2/NFYA/BAZ2A/MUC1/ETV6/HSF1/ATF1/ZFP92/NCOR1/SUB1/NFATC2/ATF6/RPA2"
"4","GO:0140110","transcription regulator activity",435,0.461148173806117,-1.8421641001488,1e-10,4.28943200935865e-08,3.43930609303017e-08,1446,"tags=40%, list=24%, signal=33%","ZFP62/ZNF512B/ARX/ZNF652/JMY/PARP10/ST18/MLXIPL/ABL1/IRX2/PBX2/ZNF687/RCOR3/TLE5/MECP2/TAF6L/IRF2BP1/ZKSCAN1/SMARCD1/ZBTB38/SIN3B/NKX2-2/PHF12/NFYB/HNF4A/ZNF516/DMAP1/RBPJ/SMARCD3/RFX3/ZSCAN18/RREB1/HNF1B/DNAJB1/STAT3/ZHX3/ZNF592/ZBTB33/LDB1/ZNF800/MED8/TBL1X/MLX/MTA1/PDX1/PROX1/SP2/WWC1/FOXP4/MRTFA/SS18/NR2F6/ZNF280D/BBX/MED15/PHF8/SP1/ZBTB4/TFE3/ZBTB20/TAF9B/PAX6/KLF13/NFX1/ZNF358/JUND/ZNF316/POU2F1/SAP30L/USF2/KAT7/NR2C2/ZBTB45/GMEB2/YEATS2/AIP/ZNF618/TRIM38/PHF2/SMARCB1/HDAC9/TFAM/EWSR1/E2F4/HTATIP2/SAMD11/TCF25/NUCKS1/PSIP1/HSPA1A/NRF1/CBX4/CEBPD/IRF6/CREBBP/TFEB/RYBP/HMGB1/ATF2/JUN/JMJD1C/TAF6/PFDN5/ZNF384/APEX1/CNOT2/DACH1/TP53BP1/YY1/HMGB2/MIDEAS/CUX1/HIF1AN/SMARCE1/INSM1/MEIS1/MED20/MNX1/SMARCA4/ATN1/ZKSCAN8/ASAH1/MED4/BTAF1/SF1/RFX2/NFYA/PQBP1/ARID1A/KDM1A/CRTC1/MUC1/ZNF22/ACTN1/ETV6/HCFC2/MED22/MED31/HSF1/ATF1/SCAI/PARP14/ZFP92/NCOR1/SUB1/NFATC2/ATF6/ARL2BP/BRD8/PBX1/RRP1B/BCL9/CIC/TSC22D1/FUS/MEF2D/KMT2E/PEX14/ARID5B/ARK2N/EDF1/NR3C1/ZMIZ1/TDP2/ELF1/C1QBP/POLR2M/BRD7/ATF7IP/ABT1/MLIP/PBXIP1"
"5","GO:0003682","chromatin binding",230,0.504990733642738,-1.93706891154134,3.38801597267889e-10,4.89754129749747e-08,3.92689372126647e-08,1229,"tags=37%, list=20%, signal=31%","ARX/PHC3/REPIN1/H1-10/HMGN5/H2AZ1/PBX2/SMARCA1/MECP2/MBD3/SMARCD1/PHC1/EP400/PCGF2/MACROH2A1/SIN3B/HNF4A/RBPJ/SMARCD3/CHD3/STAT3/HP1BP3/KDM6A/LDB1/SET/MTA1/PDX1/LRWD1/MSL2/PHF8/KDM1B/CBX1/MCM3AP/H1-4/PAX6/ZC3H4/GATAD2B/SAP30L/KAT7/KMT2A/PYGO2/BRD3/PHF21A/SMARCB1/SAMD1/TFAM/E2F4/SAMD11/MEN1/NUCKS1/PSIP1/SCML2/CBX4/NELFE/CREBBP/MACROH2A2/NELFA/ATF2/JMJD1C/APEX1/APTX/H1-2/RNF169/YY1/PAF1/ACTR6/SMARCE1/INSM1/MEIS1/ZNF609/SMARCA4/HMGN4/H1-3/ARID1A/KDM1A/CABIN1/BRD2/CBX6/HSF1/NFATC2/GTF2F1/HMGN2/BCAS3/NKAP/H1-0/MORC2"
"6","GO:0003690","double-stranded DNA binding",323,0.470728607977015,-1.84764189770289,3.8262041386699e-10,4.89754129749747e-08,3.92689372126647e-08,1188,"tags=34%, list=19%, signal=29%","ZFP62/ZNF512B/ARX/H1-10/ST18/MLXIPL/ABL1/H2AZ1/IRX2/PBX2/CPSF4/MECP2/ZKSCAN1/ARID4A/CENPC/DHX33/ZBTB38/MACROH2A1/REXO4/NKX2-2/NFYB/HNF4A/ZNF516/RBPJ/RFX3/ZSCAN18/RREB1/HNF1B/CHD3/TAF1/STAT3/ZBTB33/KDM6A/MED8/TBL1X/MLX/MTA1/PDX1/PROX1/SP2/FOXP4/NR2F6/HMGB3/ZNF280D/MSL2/BBX/SP1/ZBTB4/TFE3/ZBTB20/H1-4/PAX6/KLF13/NFX1/ZNF358/JUND/POU2F1/USF2/KAT7/MAPT/TAF4/NR2C2/ZBTB45/GMEB2/SMARCB1/TFAM/E2F4/TERF2/MEN1/NUCKS1/PIN4/PSIP1/NRF1/CBX4/CEBPD/IRF6/MACROH2A2/TFEB/HMGB1/ATF2/JUN/MCM5/ZNF384/APEX1/APTX/H1-2/DACH1/YY1/HMGB2/CUX1/INSM1/MEIS1/MNX1/SMARCA4/ZKSCAN8/CGGBP1/RFX2/NFYA/PQBP1/H1-3/BAZ2A/MUC1/ETV6/HSF1/ATF1/ZFP92/NCOR1/SUB1/NFATC2/ATF6/HNRNPDL"
"7","GO:0003700","DNA-binding transcription factor activity",191,0.521038835207751,-1.98025617664897,1.76838753100355e-09,1.81082883174764e-07,1.45193923598186e-07,1171,"tags=39%, list=19%, signal=32%","ZFP62/ZNF512B/ARX/ZNF652/ST18/MLXIPL/IRX2/PBX2/ZNF687/ZKSCAN1/ZBTB38/NKX2-2/NFYB/HNF4A/ZNF516/RBPJ/RFX3/ZSCAN18/RREB1/HNF1B/STAT3/ZHX3/ZNF592/ZBTB33/ZNF800/MLX/PDX1/PROX1/SP2/FOXP4/NR2F6/ZNF280D/BBX/SP1/ZBTB4/TFE3/ZBTB20/PAX6/KLF13/NFX1/ZNF358/JUND/ZNF316/POU2F1/USF2/NR2C2/ZBTB45/GMEB2/ZNF618/E2F4/SAMD11/NRF1/CEBPD/IRF6/TFEB/ATF2/JUN/ZNF384/DACH1/YY1/CUX1/INSM1/MEIS1/MNX1/ZKSCAN8/RFX2/NFYA/ZNF22/ETV6/HSF1/ATF1/ZFP92/NFATC2/ATF6"
"8","GO:0006082","organic acid metabolic process",451,-0.34415516375458,1.77917096144676,1.16508431544719e-10,2.88096548799596e-07,2.54852864306639e-07,1173,"tags=33%, list=19%, signal=29%","PAPSS1/ARG2/HMGCL/PTGS1/LDHA/PDK1/DAGLA/MTARC2/ECHDC1/PRKAB1/ACAA1/KYAT1/PLOD2/ERLIN1/FBP1/IDH3A/MPC2/ALDH1A3/ADPGK/ACADM/PYCR3/GCSH/PDK4/ADH1B/GGT5/ARL2/IDH2/SLC27A3/SLC25A21/SLC16A1/ECHDC3/HIBCH/LDHD/FPGS/ACSS1/DECR1/ENPP1/HSD17B4/IDNK/ABAT/GALK1/OTC/HADH/AMT/BCKDK/ARNT/ALDH1L2/ALDH6A1/PDHB/AKR1C2/ATP8B1/OSBPL2/ACSF2/SLC25A42/PRKAA2/ACSL6/HAGH/CSGALNACT1/GGT1/EP300/HSD17B8/MFSD8/CPA1/ALDOB/SULT1A1/GNMT/FAH/MPO/GAMT/GSTA1/CROT/MAT1A/CRAT/FABP5/PDK2/SYK/LDHB/P4HB/BCAT2/AS3MT/PNPLA8/ME1/PSAT1/LOC102724560/ALOX5/SUCLG2/PDHA1/EPHX1/PLA2G1B/XYLB/SHMT2/HOGA1/CTH/DGLUCY/ALDH5A1/MRI1/AMACR/LPIN1/ALDH1L1/HACD2/OSBPL7/AKT1/C3/ASNS/BRCA1/ACADSB/DAGLB/HK1/CD36/PLA2G4A/IREB2/MTHFS/ASRGL1/HNMT/COL6A1/PGAM2/NOS3/CYP27A1/JMJD8/ACO1/STAT5A/FADS2/ACSM3/ACOT8/GFPT1/SCD/ACAD8/TST/CPT2/FAHD1/CASP1/NUDT19/PTGS2/FAAH/IL4I1/DPYD/NPC1/GPT/ME3/CES1/ERO1A/ACOT7/DHTKD1/SULT1A4/CAV1/ADH1C/AASS/IDH3G/SLC2A1/NUDT8/CYP7B1"
"9","GO:0043436","oxoacid metabolic process",448,-0.343001087945168,1.76706299608229,1.94857320797833e-10,2.88096548799596e-07,2.54852864306639e-07,1173,"tags=33%, list=19%, signal=29%","PAPSS1/ARG2/HMGCL/PTGS1/LDHA/PDK1/DAGLA/MTARC2/ECHDC1/PRKAB1/ACAA1/KYAT1/PLOD2/ERLIN1/FBP1/IDH3A/MPC2/ALDH1A3/ADPGK/ACADM/PYCR3/GCSH/PDK4/ADH1B/GGT5/ARL2/IDH2/SLC27A3/SLC25A21/SLC16A1/ECHDC3/HIBCH/LDHD/FPGS/ACSS1/DECR1/ENPP1/HSD17B4/IDNK/ABAT/GALK1/OTC/HADH/AMT/BCKDK/ARNT/ALDH1L2/ALDH6A1/PDHB/AKR1C2/ATP8B1/OSBPL2/ACSF2/SLC25A42/PRKAA2/ACSL6/HAGH/CSGALNACT1/GGT1/EP300/HSD17B8/MFSD8/CPA1/ALDOB/SULT1A1/GNMT/FAH/MPO/GAMT/GSTA1/CROT/MAT1A/CRAT/FABP5/PDK2/SYK/LDHB/P4HB/BCAT2/AS3MT/PNPLA8/ME1/PSAT1/LOC102724560/ALOX5/SUCLG2/PDHA1/EPHX1/PLA2G1B/XYLB/SHMT2/HOGA1/CTH/DGLUCY/ALDH5A1/MRI1/AMACR/LPIN1/ALDH1L1/HACD2/OSBPL7/AKT1/C3/ASNS/BRCA1/ACADSB/DAGLB/HK1/CD36/PLA2G4A/IREB2/MTHFS/ASRGL1/HNMT/COL6A1/PGAM2/NOS3/CYP27A1/JMJD8/ACO1/FADS2/ACSM3/ACOT8/GFPT1/SCD/ACAD8/TST/CPT2/FAHD1/CASP1/NUDT19/PTGS2/FAAH/IL4I1/DPYD/NPC1/GPT/ME3/CES1/ERO1A/ACOT7/DHTKD1/SULT1A4/CAV1/ADH1C/AASS/IDH3G/SLC2A1/NUDT8/CYP7B1"
"10","GO:0005743","mitochondrial inner membrane",306,-0.378296847171778,1.83243681186585,2.56935064866003e-09,3.60565541028624e-07,2.82177808080908e-07,1441,"tags=34%, list=23%, signal=27%","MRPL23/MRPL18/NDUFB11/SCO2/NDUFS6/GATM/NDUFB6/MRPS5/NDUFS5/COA1/MRPL27/MRPL40/MTNAP1/MRPL13/MRPL58/SFXN1/COX14/SLC25A11/SLC25A10/MICU3/SLC25A4/NDUFB3/MTX3/SLC25A5/NDUFC2/ATP5PB/ABCB7/TIMM29/MRPL37/NDUFB5/MPC2/SFXN5/NDUFA11/MRPS6/SLC25A21/CHDH/LDHD/GUF1/LETM2/PARL/PAM16/FPGS/ATP5PO/ATP6/OTC/LGALS3/ATP5PD/NDUFAF4/SLC25A42/MRPL48/MRPL4/DMAC2L/MRPL3/UQCRFS1/MRPS23/GHITM/CRAT/OMA1/TOMM40/ND4/LDHB/MRPL21/NDUFAF3/SFXN3/MRPL46/MRPL1/MRPL28/ATP5F1A/NDUFAF6/SHMT2/MRPL35/COX16/NDUFA8/RPS3/PHB2/TMEM70/LYN/PLA2G4A/MRPL10/BDH1/BCL2L1/SLC25A40/SLC25A15/CYP27A1/MRPL38/TAMM41/MCUR1/PTPMT1/MRPL16/PPOX/FECH/MRPL19/SCO1/PPIF/ATP5MF/CPT2/SLC25A1/SLC25A29/SLC25A25/NOA1/MTG1/CHCHD6/FOXRED1/SLC25A6"
